run,sample_id,pollutant,feature_name,feature_value_raw,feature_value_norm,shap_value,abs_shap,shap_rank_abs,shap_sign,source_category
4,3008,pm10,PopulationDensity,7917.1,6.794884217872642,0.5047471846549095,0.5047471846549095,2,positive,urban_anthropogenic
4,3008,pm10,Latitude,44.41949,-0.2982582161395741,-0.2890832144246776,0.2890832144246776,3,negative,geographic_context
4,3008,pm10,num_roads_1km,860.0,0.5281827629265629,0.18189423938781366,0.18189423938781366,4,positive,traffic
4,3008,pm10,Altitude,30.0,-0.8198960466942111,0.1231623928403114,0.1231623928403114,5,positive,geographic_context
4,3008,pm10,urban,1.0,0.9693384774922439,0.08370128379043458,0.08370128379043458,6,positive,urban_anthropogenic
4,3008,pm10,ship_density_5km,0.0,-0.332199815255663,0.06336436736635835,0.06336436736635835,7,positive,port_shipping
4,3008,pm10,Wind_3yr,2.158941605839416,-0.32287859299849864,-0.04900192563753434,0.04900192563753434,8,negative,meteorological_condition
4,3008,pm10,num_roads_500m,166.0,-0.02147564654272079,-0.0396527739611882,0.0396527739611882,9,negative,traffic
4,3008,pm10,RH_3yr,70.24928832116788,-1.0343840098367516,0.0395512487844994,0.0395512487844994,10,positive,meteorological_condition
4,3008,pm10,num_buildings_1km,1200.0,-0.4109433745715181,0.03117272664488313,0.03117272664488313,11,positive,urban_anthropogenic
4,3008,pm10,num_industrial_landuse_1km,4.0,0.00760689708318876,0.031066094451764743,0.031066094451764743,12,positive,industrial
4,3008,pm10,ship_density_10km,0.0,-0.3187453966742202,0.02607166203357277,0.02607166203357277,13,positive,port_shipping
4,3008,pm10,Stability_3yr,0.3160401459854015,0.3160401459854015,0.019222294835330216,0.019222294835330216,14,positive,meteorological_condition
4,3008,pm10,traffic,0.0,-0.3281059132780248,-0.01696022277959642,0.01696022277959642,15,negative,traffic
4,3008,pm10,num_factory_1km,0.0,-0.1735841355973231,0.013855891462057778,0.013855891462057778,16,positive,industrial
4,3008,pm10,num_buildings_500m,205.0,-0.6040488704661788,-0.010761561103950426,0.010761561103950426,17,negative,urban_anthropogenic
4,3008,pm10,Temp_3yr,13.132764598540149,0.23948694489705832,-0.00958584579076262,0.00958584579076262,18,negative,meteorological_condition
4,3008,pm10,ship_density_1km,0.0,-0.14022768049856174,-0.007103517445676977,0.007103517445676977,19,negative,port_shipping
4,3008,pm10,num_industrial_landuse_500m,1.0,-0.0690662422038175,0.00571655568852431,0.00571655568852431,20,positive,industrial
4,3008,pm10,rural,0.0,-0.5536674263920707,0.005175919345144278,0.005175919345144278,21,positive,geographic_context
4,3008,pm10,Precip_3yr,1.6631751824817518,-0.67512271788396,0.0018567202217551373,0.0018567202217551373,22,positive,meteorological_condition
4,3008,pm10,num_factory_500m,0.0,-0.13406790694875997,0.0,0.0,23,zero,industrial
5,3,no2,PopulationDensity,594.5,0.09644718262580503,0.36936251487101857,0.36936251487101857,1,positive,urban_anthropogenic
5,3,no2,num_roads_1km,1487.0,1.7793924286928504,0.16967428046760116,0.16967428046760116,2,positive,traffic
5,3,no2,rural,0.0,-0.5536674263920707,0.11589526568383336,0.11589526568383336,3,positive,geographic_context
5,3,no2,num_buildings_500m,3135.0,3.4460798348561767,-0.11008172882360669,0.11008172882360669,4,negative,urban_anthropogenic
5,3,no2,RH_3yr,80.88264598540147,0.902870344113467,-0.10172685133348966,0.10172685133348966,5,negative,meteorological_condition
5,3,no2,num_buildings_1km,10346.0,3.5115757214337653,0.0826265549559937,0.0826265549559937,6,positive,urban_anthropogenic
5,3,no2,Altitude,5.0,-0.9128593278957324,0.08229385265994296,0.08229385265994296,7,positive,geographic_context
5,3,no2,ship_density_10km,397.9258723187443,0.7471680167869497,0.06756897938805013,0.06756897938805013,8,positive,port_shipping
